ChangeType,ClientState,TenantId,Resource,Id,ODataType,ODataId,ODataEtag
created,new_callrecord,f1265e86-ad12-460a-bd6b-e0f9394bc80b,communications/callRecords,7350b453-c4ed-4345-9d9b-ca218dd8f09d,#microsoft.graph.callrecord,communications/callrecords/7350b453-c4ed-4345-9d9b-ca218dd8f09d,
created,new_callrecord,f1265e86-ad12-460a-bd6b-e0f9394bc80b,communications/callRecords,fa1d20ef-a293-4977-bc47-2e0dffdb36d6,#microsoft.graph.callrecord,communications/callrecords/fa1d20ef-a293-4977-bc47-2e0dffdb36d6,
created,new_callrecord,f1265e86-ad12-460a-bd6b-e0f9394bc80b,communications/callRecords,7350b453-c4ed-4345-9d9b-ca218dd8f09d,#microsoft.graph.callrecord,communications/callrecords/7350b453-c4ed-4345-9d9b-ca218dd8f09d,
created,new_callrecord,f1265e86-ad12-460a-bd6b-e0f9394bc80b,communications/callRecords,340f6aa9-bf2e-413f-a6ea-03d8217da0f3,#microsoft.graph.callrecord,communications/callrecords/340f6aa9-bf2e-413f-a6ea-03d8217da0f3,
created,new_callrecord,f1265e86-ad12-460a-bd6b-e0f9394bc80b,communications/callRecords,340f6aa9-bf2e-413f-a6ea-03d8217da0f3,#microsoft.graph.callrecord,communications/callrecords/340f6aa9-bf2e-413f-a6ea-03d8217da0f3,
created,new_callrecord,f1265e86-ad12-460a-bd6b-e0f9394bc80b,communications/callRecords,232e2aa8-acdf-474a-a765-f8ef04496f44,#microsoft.graph.callrecord,communications/callrecords/232e2aa8-acdf-474a-a765-f8ef04496f44,
created,new_callrecord,f1265e86-ad12-460a-bd6b-e0f9394bc80b,communications/callRecords,7350b453-c4ed-4345-9d9b-ca218dd8f09d,#microsoft.graph.callrecord,communications/callrecords/7350b453-c4ed-4345-9d9b-ca218dd8f09d,
created,new_callrecord,f1265e86-ad12-460a-bd6b-e0f9394bc80b,communications/callRecords,7350b453-c4ed-4345-9d9b-ca218dd8f09d,#microsoft.graph.callrecord,communications/callrecords/7350b453-c4ed-4345-9d9b-ca218dd8f09d,
created,new_callrecord,f1265e86-ad12-460a-bd6b-e0f9394bc80b,communications/callRecords,7350b453-c4ed-4345-9d9b-ca218dd8f09d,#microsoft.graph.callrecord,communications/callrecords/7350b453-c4ed-4345-9d9b-ca218dd8f09d,
created,new_callrecord,f1265e86-ad12-460a-bd6b-e0f9394bc80b,communications/callRecords,7350b453-c4ed-4345-9d9b-ca218dd8f09d,#microsoft.graph.callrecord,communications/callrecords/7350b453-c4ed-4345-9d9b-ca218dd8f09d,
created,new_callrecord,f1265e86-ad12-460a-bd6b-e0f9394bc80b,communications/callRecords,7350b453-c4ed-4345-9d9b-ca218dd8f09d,#microsoft.graph.callrecord,communications/callrecords/7350b453-c4ed-4345-9d9b-ca218dd8f09d,
created,new_callrecord,f1265e86-ad12-460a-bd6b-e0f9394bc80b,communications/callRecords,7350b453-c4ed-4345-9d9b-ca218dd8f09d,#microsoft.graph.callrecord,communications/callrecords/7350b453-c4ed-4345-9d9b-ca218dd8f09d,
created,new_callrecord,f1265e86-ad12-460a-bd6b-e0f9394bc80b,communications/callRecords,7350b453-c4ed-4345-9d9b-ca218dd8f09d,#microsoft.graph.callrecord,communications/callrecords/7350b453-c4ed-4345-9d9b-ca218dd8f09d,
created,new_callrecord,f1265e86-ad12-460a-bd6b-e0f9394bc80b,communications/callRecords,7350b453-c4ed-4345-9d9b-ca218dd8f09d,#microsoft.graph.callrecord,communications/callrecords/7350b453-c4ed-4345-9d9b-ca218dd8f09d,
created,new_callrecord,f1265e86-ad12-460a-bd6b-e0f9394bc80b,communications/callRecords,7350b453-c4ed-4345-9d9b-ca218dd8f09d,#microsoft.graph.callrecord,communications/callrecords/7350b453-c4ed-4345-9d9b-ca218dd8f09d,
created,new_callrecord,f1265e86-ad12-460a-bd6b-e0f9394bc80b,communications/callRecords,7350b453-c4ed-4345-9d9b-ca218dd8f09d,#microsoft.graph.callrecord,communications/callrecords/7350b453-c4ed-4345-9d9b-ca218dd8f09d,
